STIX ID,Type,Actor Name,Description,Short Description,Created,Modified,spec_version,x_mitre_is_subtechnique,x_mitre_parent_ref,x_mitre_aliases,External References,External ID,URL
x-amltrix-actor--a27996b8-5d5b-472f-b5d7-020e0cfe4b8b,x-amltrix-actor,Insurance Company,"Organizations that underwrite and issue insurance policies, collecting premiums and paying claims in the event of covered losses. They may operate directly or through intermediaries.","Insurance companies underwrite and issue policies, collecting premiums and paying claims, and thereby handle significant capital flows that can be exploited for layering or illicit fund infiltration. Their intermediary relationships and complex transaction flows demand robust AML/CFT controls to mitigate these vulnerabilities in adversarial threat modelling.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0002"",
    ""url"": ""https://framework.amltrix.com/actors/AT0002""
  }
]",AT0002,https://framework.amltrix.com/actors/AT0002
x-amltrix-actor--49d349d8-7d8b-4929-b6de-29aeff897f28,x-amltrix-actor,Cardholder,An individual authorized to use a credit or debit card issued by a financial institution for making purchases or withdrawing funds.,"A cardholder is an authorized individual who uses a payment card for financial transactions and represents a potential point of vulnerability in AML/CFT risk scenarios, as their account and transaction patterns may be exploited for unauthorized or illicit activities.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0007"",
    ""url"": ""https://framework.amltrix.com/actors/AT0007""
  }
]",AT0007,https://framework.amltrix.com/actors/AT0007
x-amltrix-actor--c4527017-bc5f-4798-90da-8217a4faac3c,x-amltrix-actor,Bank,"A licensed entity that accepts deposits, extends credit, and provides various financial services to individuals and businesses.","Banks are licensed financial institutions that serve as critical nodes in the financial ecosystem, subject to elevated AML/CFT vulnerabilities due to their deposit-taking and lending activities. They mitigate these threats through regulatory compliance obligations, KYC protocols, and continuous transaction monitoring to detect and disrupt illicit financial flows.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0008"",
    ""url"": ""https://framework.amltrix.com/actors/AT0008""
  }
]",AT0008,https://framework.amltrix.com/actors/AT0008
x-amltrix-actor--38448b5b-9e2a-48f7-a663-3d87a895d373,x-amltrix-actor,Cybercriminal,"An individual or group engaged in illegal cyber activities primarily for financial gain, which can involve targeting financial institutions or their customers to obtain or launder illicit funds.","Cybercriminals are threat actors who exploit digital vulnerabilities to illegally acquire or launder funds, targeting financial institutions and their clients through hacking, identity theft, and other illicit tactics. Their activities elevate AML/CFT risks by enabling unauthorized asset transfers, concealing illicit proceeds, and undermining financial system integrity.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0014"",
    ""url"": ""https://framework.amltrix.com/actors/AT0014""
  }
]",AT0014,https://framework.amltrix.com/actors/AT0014
x-amltrix-actor--4af71054-7a2f-419f-a471-93dee707af70,x-amltrix-actor,Terrorist Organization,"An entity recognized by national or international authorities for employing or supporting acts of terrorism, typically driven by ideological, political, or religious objectives. Such organizations may operate openly or clandestinely and leverage various networks or resources to further their aims.","Recognized by national or international authorities for committing or supporting acts of terrorism, these entities operate through both overt and clandestine networks to finance their ideological, political, or religious objectives. They exploit vulnerabilities in financial systems, channeling and laundering funds through illicit or opaque mechanisms, thereby posing significant AML/CFT threats.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0019"",
    ""url"": ""https://framework.amltrix.com/actors/AT0019""
  }
]",AT0019,https://framework.amltrix.com/actors/AT0019
x-amltrix-actor--e35d596d-ec38-4ee4-9c84-47e4c1f350c3,x-amltrix-actor,Non-Profit Organization,"An organization formed for philanthropic, social, charitable, religious, or humanitarian objectives, typically operating independently of government agencies. These entities often rely on donations, membership fees, or grants for funding and maintain financial relationships with financial institutions to manage their operational needs and disburse resources in pursuit of their mission.","Non-Profit Organizations (NPOs) rely on donations, grants, or membership fees to fund philanthropic objectives and frequently operate across multiple jurisdictions, exposing them to heightened AML/CFT risks. Their broad donor base, varied funding streams, and often minimal oversight can create vulnerabilities that adversaries may exploit to launder illicit proceeds or facilitate terrorist financing under the guise of charitable operations.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0022"",
    ""url"": ""https://framework.amltrix.com/actors/AT0022""
  }
]",AT0022,https://framework.amltrix.com/actors/AT0022
x-amltrix-actor--a03770f1-1d55-406b-927a-6a621342f740,x-amltrix-actor,Organized Crime Group,"A structured collective or network of individuals who systematically engage in criminal activities for profit, often operating across multiple jurisdictions and involved in various predicate offenses such as drug trafficking, fraud, extortion, or smuggling.","An organized crime group is a structured network engaging in coordinated criminal operations for profit, often spanning multiple jurisdictions and encompassing a range of predicate offenses that significantly increase money laundering and terrorist financing (ML/TF) risks. Their illicit activities—such as drug trafficking, fraud, extortion, and smuggling—exploit vulnerabilities in financial systems, posing substantial compliance and regulatory challenges within AML/CFT frameworks.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0029"",
    ""url"": ""https://framework.amltrix.com/actors/AT0029""
  }
]",AT0029,https://framework.amltrix.com/actors/AT0029
x-amltrix-actor--d63051e4-8703-4a40-92b6-3f59da195824,x-amltrix-actor,Offshore Financial Institution,"A financial entity operating in a jurisdiction typically offering certain regulatory, privacy, or tax benefits for international clients.","Offshore financial institutions operate in jurisdictions with favorable regulatory or tax regimes and heightened confidentiality, creating potential vulnerabilities for money laundering or terrorism financing through reduced transparency and regulatory oversight. They often serve as facilitators for obscuring ultimate beneficial ownership, thereby necessitating enhanced due diligence and robust compliance measures to mitigate AML/CFT risks.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0031"",
    ""url"": ""https://framework.amltrix.com/actors/AT0031""
  }
]",AT0031,https://framework.amltrix.com/actors/AT0031
x-amltrix-actor--7bed9c9c-aaa9-456e-a8ef-c864b283088f,x-amltrix-actor,Money Services Business,"An enterprise or individual offering financial services such as currency exchange, money transmission, or check cashing outside traditional banking channels. These entities often serve customers with limited access to mainstream financial institutions by providing alternative or more flexible solutions.","Money Services Businesses (MSBs) facilitate currency exchange, money transmission, and other financial services outside formal banking channels, often catering to underserved or underbanked populations. Their flexible service models and broader customer reach can present increased AML/CFT vulnerabilities, necessitating enhanced regulatory oversight and comprehensive risk mitigation strategies.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0033"",
    ""url"": ""https://framework.amltrix.com/actors/AT0033""
  }
]",AT0033,https://framework.amltrix.com/actors/AT0033
x-amltrix-actor--87e31b8f-6e3a-4733-a798-b72981210ad0,x-amltrix-actor,Private Interest Foundation,A legal structure established under specific jurisdictions to manage or protect private wealth. Such foundations typically maintain a separate legal identity from their founders and often interact with financial institutions for account services or investment management.,"A private interest foundation is a discrete legal entity distinct from its founder, enabling the management or protection of private wealth while potentially obscuring beneficial ownership. Frequently operating in jurisdictions with favorable secrecy provisions, these foundations can pose elevated risks for money laundering and terrorist financing when interfacing with financial institutions for account and investment services.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0034"",
    ""url"": ""https://framework.amltrix.com/actors/AT0034""
  }
]",AT0034,https://framework.amltrix.com/actors/AT0034
x-amltrix-actor--26a9ad24-44a6-43f8-a076-dffe6e56e36f,x-amltrix-actor,Trust and Company Service Providers (TCSPs),"Professionals or firms that provide services associated with the formation, administration, and management of companies, trusts, or similar structures on behalf of clients. Their offerings can include company formation, registered office provision, directorship or nominee services, trust administration, accounting, tax compliance, and other administrative or fiduciary duties, often operating across multiple jurisdictions.","TCSPs form and manage corporate or trust structures across multiple jurisdictions, creating potential opacity around beneficial ownership and facilitating complex financial flows that increase AML/CFT vulnerabilities. As critical gatekeepers, they must implement robust due diligence and monitoring measures to mitigate money laundering and terrorist financing risks.",2025-04-02T13:25:50.561645+00:00,2025-04-02T13:25:50.561645+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""AT0035"",
    ""url"": ""https://framework.amltrix.com/actors/AT0035""
  }
]",AT0035,https://framework.amltrix.com/actors/AT0035
