STIX ID,Type,Indicator Name,Description,x_amltrix_short_description,Created,Modified,spec_version,x_mitre_is_subtechnique,x_mitre_parent_ref,x_mitre_aliases,external_references,external_id,external_url
x-amltrix-indicator--ad70a5c7-d2b7-46e6-8ca5-12f69384380c,x-amltrix-indicator,IND00001,Cross-border mobile payment transactions where the destination and origin countries do not align with the customer's declared residency or business location.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--2b2997dc-4704-4b55-be7e-57f425da3976,x-amltrix-indicator,IND00019,"Frequent switching of funds across various mobile payment services, from person-to-person transfers to online purchases, making it difficult to trace the original source of funds.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--91dd6ef0-01f0-43fe-9087-de6d2abe4e31,x-amltrix-indicator,IND00020,"Depositing physically or digitally altered checks where the payee name is changed or removed, not matching the account holder’s verified identity.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--b07d371c-524c-4b31-b25b-04537aa4b83c,x-amltrix-indicator,IND00021,Large sums of undeclared or misdeclared physical cash discovered during customs checks at border crossings.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--fbc5edad-a74c-41f4-aaa3-0361ebe649ea,x-amltrix-indicator,IND00037,"Multiple personal and business accounts—none officially registered—share a single beneficial owner, funneling unverified cash inflows with no apparent legitimate business structure.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--4e8f3d06-a122-486c-837e-9b3effb4d4e0,x-amltrix-indicator,IND00038,Repeatedly claiming VAT or export tax reimbursements at levels far exceeding the business’s usual sales volumes or industry benchmarks.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--3d12db44-f4ac-4146-bbfa-32ccdcb2fa56,x-amltrix-indicator,IND00039,Frequent subcontracting to shell or minimally registered entities paid extensively in cash for labor costs not reflected in official payroll records.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--42acb03e-4dbb-4510-8b37-f125078e564b,x-amltrix-indicator,IND00044,Minimal or no documentation supporting the legitimacy of transactions or the business itself.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--41c67c25-d8d5-4269-880e-752609aab6e8,x-amltrix-indicator,IND00045,Use of cash-intensive transactions or large cash deposits without clear business rationale.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--cbbe6b22-789c-4440-86b2-9c6a4012224e,x-amltrix-indicator,IND00046,"Submission of trade documents (e.g., bills of lading, export licenses, certificates of origin) that display inconsistencies or signs of falsification regarding oil shipments.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--61ef30d9-1037-4e4d-9adb-b9f3be10bcef,x-amltrix-indicator,IND00047,Frequent discrepancies between declared shipment quantities or weights on shipping documents and the values reported on export invoices.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--16a73018-d001-4299-9c9e-9c3b9fafec2e,x-amltrix-indicator,IND00048,"A significant mismatch between the geographic origins of donor funds (e.g., via IP address or registered domicile) and the campaign’s stated target region.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--e5196610-1854-4db4-b67f-2108cf97c99b,x-amltrix-indicator,IND00002,"Frequent use of third-party mobile payment accounts in transactions, with unclear or unverifiable beneficial ownership.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--2062dd55-e6d4-4cc3-a3f1-78264ce40593,x-amltrix-indicator,IND00003,A sudden surge or spike in mobile payment activity that deviates significantly from the customer’s established transaction history or usual behavior.,,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--2bf418a6-7c74-42ba-b697-1b638a5792b3,x-amltrix-indicator,IND00004,"Business entities repeatedly refuse or fail to provide legitimate supporting documentation for large or unusual transfers, or submit documentation with clear signs of falsification.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
x-amltrix-indicator--d911b80d-7f69-481b-a949-9a85c8e29a93,x-amltrix-indicator,IND00005,"Customers who cannot provide standard identification or corporate documents, or who give inconsistent explanations about the purpose of transactions.",,2025-04-08T07:48:45.673531+00:00,2025-04-08T07:48:45.673531+00:00,2.1,False,,,,,
